Date,Total Posts
8/8/16,922
8/9/16,779
8/10/16,1159
8/11/16,1191
8/12/16,897
8/13/16,955
8/14/16,394
8/15/16,3430
8/16/16,1972
8/17/16,849
8/18/16,632
8/19/16,1293
8/20/16,510
8/21/16,722
8/22/16,578
8/23/16,531
8/24/16,1467
8/25/16,2742
8/26/16,3039
8/27/16,842
8/28/16,678
8/29/16,422
8/30/16,499
8/31/16,257
9/1/16,357
9/2/16,207
9/3/16,218
9/4/16,193
9/5/16,197
9/6/16,224
9/7/16,941
9/8/16,356
9/9/16,382
9/10/16,1628
9/11/16,1130
9/12/16,616
9/13/16,509
9/14/16,707
9/15/16,484
9/16/16,785
9/17/16,434
9/18/16,2705
9/19/16,1572
9/20/16,1259
9/21/16,1336
9/22/16,756
9/23/16,1953
9/24/16,1163
9/25/16,708
9/26/16,255
9/27/16,866
9/28/16,419
9/29/16,262
9/30/16,163
10/1/16,515
10/2/16,919
10/3/16,507
10/4/16,199
10/5/16,2307
10/6/16,2881
10/7/16,3268
10/8/16,1218
10/9/16,419
10/10/16,16832
10/11/16,420
10/12/16,164
10/13/16,892
10/14/16,531
10/15/16,792
10/16/16,732
10/17/16,229
10/18/16,241
10/19/16,792
10/20/16,389
10/21/16,1432
10/22/16,553
10/23/16,135
10/24/16,268
10/25/16,243
10/26/16,280
10/27/16,182
10/28/16,103
10/29/16,108
10/30/16,110
10/31/16,293
11/1/16,319
11/2/16,204
11/3/16,412
11/4/16,394
11/5/16,321
11/6/16,436
11/7/16,770
11/8/16,481
11/9/16,7275
11/10/16,16279
11/11/16,9030
11/12/16,5269
11/13/16,2975
11/14/16,1256
11/15/16,4755
11/16/16,2042
11/17/16,1778
11/18/16,2309
11/19/16,1156
11/20/16,1749
11/21/16,1188
11/22/16,1085
11/23/16,1007
11/24/16,469
11/25/16,203
11/26/16,251
11/27/16,226
11/28/16,676
11/29/16,767
11/30/16,613
12/1/16,471
12/2/16,770
12/3/16,194
12/4/16,309
12/5/16,633
12/6/16,504
12/7/16,1014
12/8/16,663
12/9/16,219
12/10/16,168
12/11/16,168
12/12/16,244
12/13/16,566
12/14/16,325
12/15/16,308
12/16/16,324
12/17/16,164
12/18/16,131
12/19/16,428
12/20/16,2404
12/21/16,4495
12/22/16,4842
12/23/16,1802
12/24/16,809
12/25/16,426
12/26/16,1070
12/27/16,728
12/28/16,1259
12/29/16,522
12/30/16,365
12/31/16,1372
1/1/17,483
1/2/17,431
1/3/17,785
1/4/17,509
1/5/17,408
1/6/17,460
1/7/17,433
1/8/17,416
1/9/17,220
1/10/17,3127
1/11/17,934
1/12/17,413
1/13/17,555
1/14/17,307
1/15/17,305
1/16/17,261
1/17/17,341
1/18/17,296
1/19/17,206
1/20/17,450
1/21/17,341
1/22/17,993
1/23/17,444
1/24/17,1382
1/25/17,30291
1/26/17,30315
1/27/17,28900
1/28/17,251006
1/29/17,426254
1/30/17,248949
1/31/17,181536
2/1/17,82585
2/2/17,68717
2/3/17,54505
2/4/17,47670
2/5/17,33973
2/6/17,25815
2/7/17,24668
2/8/17,30618
2/9/17,46308
2/10/17,58844
2/11/17,17495
2/12/17,12031
2/13/17,30788
2/14/17,18341
2/15/17,8679
2/16/17,8911
2/17/17,7751
2/18/17,4313
2/19/17,7446
2/20/17,6616
2/21/17,6381
2/22/17,5986
2/23/17,4907
2/24/17,9347
2/25/17,13055
2/26/17,4504
2/27/17,8052
2/28/17,5840
3/1/17,15606
3/2/17,3522
3/3/17,8868
3/4/17,7426
3/5/17,3623
3/6/17,67995
3/7/17,37046
3/8/17,9059
3/9/17,5259
3/10/17,5923
3/11/17,5603
3/12/17,3519
3/13/17,4768
3/14/17,4816
3/15/17,17406
3/16/17,92011
3/17/17,26422
3/18/17,10568
3/19/17,5184
3/20/17,3442
3/21/17,12035
3/22/17,5942
3/23/17,4129
3/24/17,13817
3/25/17,15587
3/26/17,9938
3/27/17,2688
3/28/17,2288
3/29/17,1657
3/30/17,3765
3/31/17,1636
